Date,Predicted_Sales
2024-01-01,91882.03937907855
2024-01-02,84752.02342096569
2024-01-03,71576.58550149635
2024-01-04,65226.06592399573
2024-01-05,65411.13928583884
2024-01-06,79570.53943441354
2024-01-07,91726.0011741685
2024-01-08,92135.6181982022
2024-01-09,85005.60224008933
2024-01-10,71830.16432062
2024-01-11,65479.64474311937
2024-01-12,65664.71810496249
2024-01-13,79824.11825353718
2024-01-14,91979.57999329214
2024-01-15,92389.19701732585
2024-01-16,85259.18105921296
2024-01-17,72083.74313974363
2024-01-18,65733.223562243
2024-01-19,65918.29692408613
2024-01-20,80077.69707266081
2024-01-21,92233.15881241579
2024-01-22,92642.77583644947
2024-01-23,85512.75987833661
2024-01-24,72337.32195886727
2024-01-25,65986.80238136665
2024-01-26,66171.87574320976
2024-01-27,80331.27589178446
2024-01-28,92486.73763153942
2024-01-29,92896.35465557312
2024-01-30,85766.33869746025
2024-01-31,72590.9007779909
2024-02-01,66240.38120049029
2024-02-02,66425.4545623334
2024-02-03,80584.8547109081
2024-02-04,92740.31645066306
2024-02-05,93149.93347469677
2024-02-06,86019.91751658388
2024-02-07,72844.47959711455
2024-02-08,66493.96001961392
2024-02-09,66679.03338145705
2024-02-10,80838.43353003173
2024-02-11,92993.89526978669
2024-02-12,93403.51229382039
2024-02-13,86273.49633570752
2024-02-14,73098.05841623819
2024-02-15,66747.53883873756
2024-02-16,66932.61220058068
2024-02-17,81092.01234915537
2024-02-18,93247.47408891034
2024-02-19,93657.09111294404
2024-02-20,86527.07515483117
2024-02-21,73351.63723536182
2024-02-22,67001.1176578612
2024-02-23,67186.19101970432
2024-02-24,81345.591168279
2024-02-25,93501.05290803398
2024-02-26,93910.66993206766
2024-02-27,86780.6539739548
2024-02-28,73605.21605448546
2024-02-29,67254.69647698484
2024-03-01,67439.76983882795
2024-03-02,81599.16998740265
2024-03-03,93754.63172715761
2024-03-04,94164.2487511913
2024-03-05,87034.23279307844
2024-03-06,73858.7948736091
2024-03-07,67508.27529610848
2024-03-08,67693.3486579516
2024-03-09,81852.74880652629
2024-03-10,94008.21054628125
2024-03-11,94417.82757031496
2024-03-12,87287.81161220207
2024-03-13,74112.37369273274
2024-03-14,67761.85411523211
2024-03-15,67946.92747707524
2024-03-16,82106.32762564992
2024-03-17,94261.7893654049
2024-03-18,94671.40638943858
2024-03-19,87541.39043132572
2024-03-20,74365.95251185638
2024-03-21,68015.43293435576
2024-03-22,68200.50629619887
2024-03-23,82359.90644477356
2024-03-24,94515.36818452853
2024-03-25,94924.98520856223
2024-03-26,87794.96925044936
2024-03-27,74619.53133098001
2024-03-28,68269.0117534794
2024-03-29,68454.08511532251
2024-03-30,82613.48526389721
